"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 02, 2021","18.72","18.72","18.72","18.72","-","0.70%"
"Apr 01, 2021","18.59","18.59","18.59","18.59","-","-2.05%"
"Mar 31, 2021","18.98","18.98","18.98","18.98","-","0.64%"
"Mar 30, 2021","18.86","18.86","18.86","18.86","-","-0.95%"
"Mar 29, 2021","19.04","19.04","19.04","19.04","-","-1.30%"
"Mar 26, 2021","19.29","19.29","19.29","19.29","-","-0.36%"
"Mar 25, 2021","19.36","19.36","19.36","19.36","-","0.94%"
"Mar 24, 2021","19.18","19.18","19.18","19.18","-","0.16%"
"Mar 23, 2021","19.15","19.15","19.15","19.15","-","1.16%"
"Mar 22, 2021","18.93","18.93","18.93","18.93","-","0.58%"
"Mar 19, 2021","18.82","18.82","18.82","18.82","-","10.51%"
"Mar 18, 2021","17.03","17.03","17.03","17.03","-","2.16%"
"Mar 17, 2021","16.67","16.67","16.67","16.67","-","-1.42%"
"Mar 16, 2021","16.91","16.91","16.91","16.91","-","-0.82%"
"Mar 15, 2021","17.05","17.05","17.05","17.05","-","-0.53%"
"Mar 12, 2021","17.14","17.14","17.14","17.14","-","-0.17%"
"Mar 11, 2021","17.17","17.17","17.17","17.17","-","-0.41%"
"Mar 10, 2021","17.24","17.24","17.24","17.24","-","0.06%"
"Mar 09, 2021","17.23","17.23","17.23","17.23","-","-1.15%"
"Mar 08, 2021","17.43","17.43","17.43","17.43","-","0.11%"
"Mar 05, 2021","17.41","17.41","17.41","17.41","-","1.52%"
"Mar 04, 2021","17.15","17.15","17.15","17.15","-","0.82%"
"Mar 03, 2021","17.01","17.01","17.01","17.01","-","-0.53%"
"Mar 02, 2021","17.10","17.10","17.10","17.10","-","-0.98%"
"Mar 01, 2021","17.27","17.27","17.27","17.27","-","0.99%"
"Feb 26, 2021","17.10","17.10","17.10","17.10","-","-1.38%"
"Feb 25, 2021","17.34","17.34","17.34","17.34","-","0.46%"
"Feb 24, 2021","17.26","17.26","17.26","17.26","-","1.77%"
"Feb 23, 2021","16.96","16.96","16.96","16.96","-","0.89%"
"Feb 22, 2021","16.81","16.81","16.81","16.81","-","-0.83%"
"Feb 19, 2021","16.95","16.95","16.95","16.95","-","2.36%"
"Feb 18, 2021","16.56","16.56","16.56","16.56","-","-1.55%"
