"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 10, 2021","1,536.16","1,556.99","1,558.95","1,534.11","999.74M","-1.17%"
"Sep 09, 2021","1,554.42","1,533.38","1,554.42","1,529.01","1.14B","1.17%"
"Sep 08, 2021","1,536.51","1,558.56","1,561.49","1,534.48","1.16B","-1.41%"
"Sep 07, 2021","1,558.55","1,582.42","1,584.63","1,558.55","1.00B","-1.58%"
"Sep 06, 2021","1,583.54","1,578.98","1,589.70","1,578.98","814.89M","0.36%"
"Sep 03, 2021","1,577.79","1,592.52","1,594.56","1,572.98","920.46M","-0.88%"
"Sep 02, 2021","1,591.72","1,587.27","1,598.90","1,583.08","830.05M","0.30%"
"Sep 01, 2021","1,586.95","1,591.89","1,596.10","1,581.36","1.07B","-0.09%"
"Aug 31, 2021","1,588.34","1,584.35","1,591.68","1,576.08","1.33B","0.91%"
"Aug 27, 2021","1,574.01","1,568.13","1,574.01","1,560.78","976.00M","0.51%"
"Aug 26, 2021","1,566.03","1,574.85","1,584.39","1,561.40","1.07B","-0.34%"
"Aug 25, 2021","1,571.40","1,583.47","1,591.37","1,569.82","1.19B","-0.84%"
"Aug 24, 2021","1,584.78","1,582.80","1,591.31","1,581.26","1.08B","0.53%"
"Aug 23, 2021","1,576.36","1,568.67","1,580.66","1,567.40","1.16B","1.21%"
"Aug 20, 2021","1,557.58","1,550.59","1,563.87","1,542.78","1.02B","0.42%"
"Aug 19, 2021","1,551.12","1,552.51","1,558.62","1,545.41","1.19B","-0.73%"
"Aug 18, 2021","1,562.56","1,582.70","1,583.67","1,560.45","1.41B","-1.01%"
"Aug 17, 2021","1,578.46","1,568.62","1,578.46","1,562.65","1.35B","0.50%"
"Aug 16, 2021","1,570.55","1,565.36","1,576.53","1,565.36","1.29B","0.55%"
"Aug 13, 2021","1,562.03","1,558.74","1,564.44","1,553.21","967.63M","0.15%"
"Aug 12, 2021","1,559.76","1,526.36","1,563.96","1,526.36","1.43B","2.83%"
"Aug 11, 2021","1,516.76","1,548.03","1,549.13","1,516.04","1.53B","-1.93%"
"Aug 10, 2021","1,546.59","1,533.08","1,551.37","1,531.20","1.41B","0.54%"
"Aug 09, 2021","1,538.30","1,545.73","1,552.10","1,536.88","1.20B","-0.39%"
"Aug 06, 2021","1,544.28","1,540.51","1,550.62","1,530.34","1.29B","0.33%"
"Aug 05, 2021","1,539.21","1,509.42","1,539.21","1,508.49","1.33B","1.57%"
"Aug 04, 2021","1,515.48","1,518.20","1,526.79","1,515.03","1.21B","0.05%"
"Aug 03, 2021","1,514.79","1,506.93","1,515.98","1,496.56","1.48B","0.73%"
"Aug 02, 2021","1,503.80","1,505.52","1,511.49","1,499.88","1.20B","0.20%"
"Jul 30, 2021","1,500.81","1,489.07","1,500.81","1,486.05","1.11B","0.06%"
"Jul 29, 2021","1,499.94","1,471.01","1,502.47","1,471.01","1.14B","2.75%"
"Jul 28, 2021","1,459.78","1,458.47","1,467.34","1,452.32","906.81M","-0.03%"
"Jul 27, 2021","1,460.18","1,444.44","1,460.89","1,437.11","997.29M","0.96%"
"Jul 26, 2021","1,446.25","1,456.55","1,462.97","1,441.78","911.40M","-0.43%"
"Jul 19, 2021","1,452.46","1,462.91","1,462.91","1,449.14","300.56M","-1.21%"
"Jul 16, 2021","1,470.19","1,482.61","1,486.25","1,463.16","637.43M","-0.61%"
"Jul 14, 2021","1,479.20","1,461.23","1,481.39","1,461.23","849.70M","1.44%"
"Jul 13, 2021","1,458.13","1,468.84","1,470.95","1,451.93","941.02M","-0.61%"
"Jul 12, 2021","1,467.07","1,488.86","1,493.10","1,463.47","1.19B","-1.45%"
"Jul 09, 2021","1,488.58","1,480.78","1,493.11","1,479.94","1.02B","0.63%"
"Jul 08, 2021","1,479.19","1,494.77","1,498.13","1,479.19","1.03B","-1.30%"
"Jul 07, 2021","1,498.70","1,490.13","1,501.10","1,489.39","1.13B","0.71%"
"Jul 06, 2021","1,488.16","1,502.76","1,508.66","1,488.16","1.12B","-0.88%"
"Jul 05, 2021","1,501.39","1,482.29","1,501.41","1,481.52","886.25M","1.16%"
"Jul 02, 2021","1,484.14","1,484.21","1,487.38","1,474.56","913.29M","0.33%"
"Jul 01, 2021","1,479.28","1,465.21","1,479.28","1,464.98","964.21M","1.12%"
"Jun 30, 2021","1,462.91","1,486.15","1,487.61","1,457.37","1.41B","-1.35%"
"Jun 29, 2021","1,483.00","1,484.71","1,488.89","1,463.18","1.49B","-0.25%"
"Jun 28, 2021","1,486.71","1,505.64","1,508.17","1,480.17","1.54B","-1.03%"
"Jun 25, 2021","1,502.18","1,525.71","1,526.44","1,501.74","1.11B","-1.34%"
"Jun 24, 2021","1,522.55","1,516.23","1,530.13","1,516.09","1.41B","0.67%"
"Jun 23, 2021","1,512.38","1,531.40","1,535.36","1,510.80","1.68B","-0.84%"
"Jun 22, 2021","1,525.26","1,519.49","1,528.67","1,510.05","1.34B","0.73%"
"Jun 21, 2021","1,514.23","1,500.07","1,514.23","1,492.75","1.43B","0.90%"
"Jun 18, 2021","1,500.76","1,531.44","1,535.56","1,499.52","1.65B","-1.61%"
"Jun 17, 2021","1,525.31","1,535.14","1,542.26","1,524.83","1.65B","-1.10%"
"Jun 16, 2021","1,542.22","1,552.93","1,556.71","1,542.22","1.29B","-0.65%"
"Jun 15, 2021","1,552.36","1,556.88","1,563.56","1,538.64","2.23B","-0.56%"
"Jun 14, 2021","1,561.09","1,567.35","1,570.09","1,557.52","1.35B","-0.04%"
"Jun 11, 2021","1,561.75","1,564.40","1,570.30","1,556.97","1.73B","0.14%"
"Jun 10, 2021","1,559.53","1,553.70","1,565.88","1,550.08","1.67B","0.62%"
"Jun 09, 2021","1,549.98","1,550.45","1,554.92","1,544.62","1.43B","0.16%"
"Jun 08, 2021","1,547.57","1,545.76","1,554.29","1,540.93","1.32B","0.10%"
"Jun 07, 2021","1,545.95","1,528.25","1,550.79","1,526.98","1.44B","1.18%"
"Jun 04, 2021","1,527.97","1,523.20","1,531.12","1,521.16","1.25B","0.38%"
"Jun 03, 2021","1,522.18","1,527.39","1,534.57","1,502.49","1.84B","-0.07%"
"Jun 02, 2021","1,523.21","1,513.64","1,528.88","1,512.28","1.53B","-0.15%"
"Jun 01, 2021","1,525.49","1,510.68","1,526.50","1,508.39","1.45B","1.27%"
"May 31, 2021","1,506.33","1,506.46","1,514.73","1,499.90","1.34B","-0.04%"
"May 28, 2021","1,506.89","1,489.96","1,507.40","1,481.19","1.63B","1.19%"
"May 27, 2021","1,489.22","1,507.97","1,509.45","1,488.29","1.95B","-1.31%"
"May 26, 2021","1,508.96","1,489.40","1,509.90","1,473.40","1.87B","2.19%"
"May 25, 2021","1,476.60","1,532.21","1,534.34","1,476.60","2.25B","-3.24%"
"May 24, 2021","1,525.98","1,523.47","1,532.45","1,512.17","1.34B","0.30%"
"May 21, 2021","1,521.42","1,526.41","1,534.47","1,518.61","1.41B","0.16%"
"May 20, 2021","1,519.05","1,521.56","1,523.39","1,505.32","1.69B","-0.82%"
"May 18, 2021","1,531.59","1,533.91","1,538.90","1,531.59","1.47B","0.39%"
"May 17, 2021","1,525.66","1,517.23","1,528.03","1,514.52","1.34B","0.98%"
"May 12, 2021","1,510.88","1,510.64","1,515.33","1,506.63","516.48M","-0.30%"
"May 11, 2021","1,515.49","1,519.93","1,528.49","1,510.25","1.49B","-1.24%"
"May 10, 2021","1,534.55","1,518.19","1,535.40","1,517.10","1.80B","1.66%"
"May 07, 2021","1,509.51","1,498.41","1,513.65","1,489.92","3.12B","1.12%"
"May 06, 2021","1,492.82","1,479.88","1,498.82","1,479.88","1.81B","1.03%"
"May 05, 2021","1,477.58","1,481.93","1,484.26","1,466.56","1.18B","-0.06%"
"May 04, 2021","1,478.48","1,485.96","1,491.04","1,473.45","1.54B","-0.33%"
"May 03, 2021","1,483.39","1,459.32","1,483.39","1,459.32","1.35B","1.82%"
"Apr 30, 2021","1,456.88","1,462.13","1,469.12","1,456.88","1.34B","-0.60%"
"Apr 29, 2021","1,465.63","1,455.28","1,470.69","1,455.28","1.11B","1.10%"
"Apr 28, 2021","1,449.72","1,458.83","1,462.84","1,445.90","1.21B","-0.65%"
"Apr 27, 2021","1,459.17","1,453.23","1,468.30","1,452.61","1.38B","1.02%"
"Apr 26, 2021","1,444.43","1,411.97","1,444.43","1,411.63","1.42B","2.25%"
"Apr 22, 2021","1,412.66","1,386.44","1,414.97","1,379.60","1.45B","1.12%"
"Apr 21, 2021","1,397.08","1,420.97","1,423.49","1,375.34","1.57B","-1.80%"
"Apr 20, 2021","1,422.66","1,432.55","1,442.99","1,420.13","1.79B","-0.79%"
"Apr 19, 2021","1,433.95","1,461.09","1,467.65","1,433.95","1.56B","-1.78%"
"Apr 16, 2021","1,459.88","1,462.68","1,465.69","1,454.38","1.54B","-0.40%"
"Apr 15, 2021","1,465.73","1,458.92","1,478.10","1,456.08","3.11B","0.66%"
"Apr 14, 2021","1,456.16","1,424.22","1,456.16","1,424.22","1.70B","2.39%"
"Apr 13, 2021","1,422.21","1,418.56","1,431.36","1,397.56","1.98B","0.55%"
"Apr 12, 2021","1,414.46","1,431.67","1,436.95","1,414.46","1.42B","-1.26%"
