"Date","Price","Open","High","Low","Change %"
"May 24, 2021","10.2319","10.2502","10.2835","10.1926","-0.06%"
"May 21, 2021","10.2384","10.2474","10.2815","10.1765","0.05%"
"May 20, 2021","10.2332","10.2403","10.2658","10.1610","0.05%"
"May 19, 2021","10.2285","10.2126","10.3080","10.1992","0.30%"
"May 18, 2021","10.1978","10.1033","10.2308","10.0864","1.01%"
"May 17, 2021","10.0959","10.2672","10.2903","10.0739","-1.48%"
"May 14, 2021","10.2477","10.2711","10.3074","10.1685","-0.14%"
"May 13, 2021","10.2620","10.1772","10.2920","10.1533","1.00%"
"May 12, 2021","10.1602","10.0686","10.2201","10.0256","0.99%"
"May 11, 2021","10.0610","10.0421","10.1349","10.0236","0.35%"
"May 10, 2021","10.0264","10.0170","10.0801","9.9944","0.12%"
"May 07, 2021","10.0145","9.9941","10.0733","9.9340","0.40%"
"May 06, 2021","9.9744","9.9852","10.0636","9.9560","-0.05%"
"May 05, 2021","9.9792","10.0070","10.0653","9.9684","-0.16%"
"May 04, 2021","9.9952","9.9546","10.0364","9.9309","0.50%"
"May 03, 2021","9.9456","9.9635","10.0300","9.9404","0.03%"
"Apr 30, 2021","9.9431","9.9646","10.0458","9.9058","-0.07%"
"Apr 29, 2021","9.9503","9.9433","10.0358","9.8418","0.16%"
"Apr 28, 2021","9.9342","9.9359","9.9726","9.8350","0.24%"
"Apr 27, 2021","9.9102","10.0075","10.0388","9.8691","-0.84%"
"Apr 26, 2021","9.9944","10.1560","10.2818","9.9874","-1.38%"
"Apr 23, 2021","10.1344","10.0024","10.1926","9.9587","1.56%"
"Apr 22, 2021","9.9783","9.8561","10.0836","9.8356","1.38%"
"Apr 21, 2021","9.8421","9.7696","9.8706","9.7393","0.91%"
"Apr 20, 2021","9.7530","9.7444","9.8168","9.7237","0.23%"
"Apr 19, 2021","9.7302","9.6735","9.7690","9.6053","0.79%"
"Apr 16, 2021","9.6543","9.5982","9.7193","9.5847","0.79%"
"Apr 15, 2021","9.5783","9.6785","9.7719","9.5725","-0.89%"
"Apr 14, 2021","9.6641","9.7013","9.7406","9.5968","-0.31%"
"Apr 13, 2021","9.6945","9.7164","9.7528","9.6456","-0.02%"
"Apr 12, 2021","9.6964","9.7186","9.7850","9.6501","-0.22%"
"Apr 09, 2021","9.7182","9.6988","9.7587","9.6459","0.37%"
"Apr 08, 2021","9.6822","9.6894","9.7381","9.6496","0.32%"
"Apr 07, 2021","9.6515","9.6695","9.7790","9.6478","0.01%"
"Apr 06, 2021","9.6503","9.5821","9.6920","9.5435","0.89%"
"Apr 05, 2021","9.5647","9.6081","9.7153","9.5170","-0.20%"
"Apr 02, 2021","9.5836","9.5654","9.6385","9.3896","0.44%"
"Apr 01, 2021","9.5420","9.6764","9.7273","9.5169","-1.31%"
"Mar 31, 2021","9.6684","9.7667","9.8569","9.6482","-0.93%"
"Mar 30, 2021","9.7592","9.6565","9.9352","9.6358","1.30%"
"Mar 29, 2021","9.6343","9.6011","9.6839","9.4313","0.43%"
"Mar 26, 2021","9.5928","9.3533","9.6252","9.3227","2.68%"
"Mar 25, 2021","9.3420","9.3731","9.4610","9.3034","-0.12%"
"Mar 24, 2021","9.3536","9.4147","9.5325","9.2652","-0.56%"
"Mar 23, 2021","9.4064","9.3093","9.4882","9.1300","1.11%"
"Mar 22, 2021","9.3033","8.5899","9.6928","8.5696","8.34%"
"Mar 19, 2021","8.5868","8.7289","8.7854","8.5639","-1.54%"
"Mar 18, 2021","8.7209","8.9887","9.0401","8.6927","-2.94%"
"Mar 17, 2021","8.9855","8.9243","9.0983","8.9010","0.80%"
"Mar 16, 2021","8.9139","8.9904","9.0105","8.9048","-0.78%"
"Mar 15, 2021","8.9837","9.0400","9.0901","8.9398","-0.56%"
"Mar 12, 2021","9.0340","8.9612","9.0888","8.9466","1.03%"
"Mar 11, 2021","8.9415","8.9481","9.0298","8.8701","0.01%"
"Mar 10, 2021","8.9406","9.0638","9.1079","8.9256","-1.28%"
"Mar 09, 2021","9.0563","9.2072","9.2261","9.0255","-1.58%"
"Mar 08, 2021","9.2018","8.9878","9.2285","8.9347","2.48%"
"Mar 05, 2021","8.9792","8.9807","9.0401","8.9080","0.07%"
"Mar 04, 2021","8.9732","9.0012","9.0779","8.9106","-0.23%"
"Mar 03, 2021","8.9940","8.8896","9.0562","8.8072","1.26%"
"Mar 02, 2021","8.8820","8.7848","8.9382","8.7555","1.32%"
"Mar 01, 2021","8.7665","8.9691","8.9789","8.6964","-2.18%"
"Feb 26, 2021","8.9620","8.9362","9.0927","8.8651","0.35%"
"Feb 25, 2021","8.9305","8.7204","9.0805","8.7065","2.50%"
"Feb 24, 2021","8.7131","8.6344","8.7996","8.5915","0.98%"
"Feb 23, 2021","8.6282","8.5328","8.6456","8.5201","1.21%"
